u_id,i_id,overall,service,value,food,atmosphere
6,107,5.0,0.0,0.0,0.0,0.0
6,108,5.0,0.0,0.0,0.0,0.0
7,109,1.0,0.0,0.0,0.0,0.0
7,110,2.0,1.0,1.0,1.0,3.0
7,111,3.0,0.0,0.0,0.0,0.0
7,83,3.0,4.0,3.0,4.0,0.0
7,112,3.0,2.0,3.0,4.0,0.0
7,113,3.0,3.0,2.0,3.0,0.0
7,114,3.0,0.0,0.0,0.0,0.0
7,115,3.0,4.0,2.0,2.0,0.0
7,116,3.0,0.0,0.0,0.0,0.0
7,117,4.0,4.0,3.0,4.0,0.0
7,118,4.0,3.0,2.0,3.0,0.0
7,119,4.0,0.0,0.0,0.0,0.0
7,120,4.0,0.0,0.0,0.0,0.0
7,121,4.0,5.0,4.0,5.0,0.0
7,122,4.0,5.0,5.0,5.0,0.0
7,3,4.0,0.0,0.0,0.0,0.0
7,123,4.0,0.0,0.0,0.0,0.0
7,124,4.0,0.0,0.0,0.0,0.0
7,125,4.0,0.0,0.0,0.0,0.0
7,126,4.0,3.0,3.0,4.0,0.0
7,127,4.0,3.0,3.0,4.0,5.0
7,128,4.0,5.0,4.0,4.0,0.0
7,129,4.0,4.0,4.0,4.0,0.0
7,130,5.0,0.0,0.0,0.0,0.0
7,131,5.0,5.0,5.0,5.0,0.0
7,132,5.0,0.0,0.0,0.0,0.0
7,133,5.0,0.0,0.0,0.0,0.0
7,134,5.0,0.0,0.0,0.0,0.0
7,135,5.0,0.0,0.0,0.0,0.0
7,136,5.0,5.0,4.0,5.0,4.0
7,137,5.0,0.0,0.0,0.0,0.0
7,138,5.0,5.0,4.0,4.0,5.0
7,139,5.0,0.0,0.0,0.0,0.0
7,140,5.0,5.0,5.0,5.0,5.0
7,141,5.0,0.0,0.0,0.0,0.0
7,142,5.0,0.0,0.0,0.0,0.0
7,143,5.0,5.0,5.0,5.0,0.0
7,144,5.0,5.0,5.0,5.0,0.0
7,145,5.0,0.0,0.0,0.0,0.0
7,146,5.0,0.0,0.0,0.0,0.0
7,147,5.0,5.0,5.0,5.0,0.0
7,148,5.0,0.0,0.0,0.0,0.0
7,149,5.0,5.0,5.0,5.0,5.0
7,150,5.0,0.0,0.0,0.0,0.0
7,151,5.0,5.0,5.0,5.0,0.0
7,152,5.0,5.0,5.0,5.0,0.0
8,153,3.0,4.0,1.0,3.0,0.0
8,154,4.0,0.0,0.0,0.0,0.0
8,155,4.0,4.0,4.0,5.0,5.0
8,149,4.0,5.0,3.0,5.0,4.0
8,156,4.0,4.0,3.0,4.0,0.0
8,157,4.0,4.0,4.0,5.0,5.0
8,158,5.0,4.0,3.0,5.0,0.0
8,127,5.0,5.0,5.0,5.0,0.0
8,159,5.0,0.0,0.0,0.0,0.0
8,160,5.0,5.0,5.0,5.0,0.0
8,161,5.0,0.0,0.0,0.0,0.0
9,40,3.0,2.0,3.0,4.0,4.0
9,117,4.0,0.0,0.0,0.0,0.0
9,162,4.0,0.0,0.0,0.0,0.0
9,163,4.0,5.0,5.0,4.0,5.0
9,164,4.0,0.0,0.0,0.0,0.0
9,165,5.0,0.0,0.0,0.0,0.0
9,166,5.0,0.0,0.0,0.0,0.0
9,167,5.0,5.0,5.0,5.0,0.0
9,150,5.0,5.0,5.0,5.0,0.0
9,168,5.0,0.0,0.0,0.0,0.0
9,169,5.0,0.0,0.0,0.0,0.0
9,170,5.0,5.0,5.0,5.0,5.0
10,171,2.0,0.0,0.0,0.0,0.0
10,172,2.0,3.0,1.0,2.0,3.0
10,173,2.0,3.0,2.0,2.0,1.0
10,174,3.0,0.0,0.0,0.0,0.0
10,175,3.0,0.0,0.0,0.0,0.0
10,176,3.0,3.0,3.0,3.0,0.0
10,177,4.0,5.0,4.0,5.0,4.0
10,178,4.0,5.0,4.0,4.0,4.0
10,179,4.0,5.0,3.0,4.0,4.0
10,120,4.0,0.0,0.0,0.0,0.0
10,180,4.0,5.0,4.0,4.0,0.0
10,181,5.0,4.0,4.0,5.0,0.0
10,182,5.0,5.0,4.0,4.0,5.0
10,183,5.0,5.0,5.0,5.0,5.0
10,184,5.0,5.0,4.0,5.0,0.0
10,185,5.0,0.0,0.0,0.0,0.0
10,186,5.0,4.0,4.0,5.0,5.0
10,61,5.0,5.0,4.0,5.0,5.0
10,187,5.0,0.0,0.0,0.0,0.0
10,46,5.0,5.0,5.0,5.0,0.0
10,188,5.0,0.0,0.0,0.0,0.0
11,66,0.0,0.0,0.0,0.0,0.0
11,189,3.0,0.0,0.0,0.0,0.0
11,190,3.0,3.0,1.0,3.0,0.0
11,61,4.0,3.0,3.0,4.0,0.0
11,191,4.0,0.0,0.0,0.0,0.0
11,192,4.0,0.0,0.0,0.0,0.0
11,69,4.0,0.0,0.0,0.0,0.0
11,193,5.0,5.0,5.0,5.0,0.0
11,194,5.0,0.0,0.0,0.0,0.0
11,195,5.0,0.0,0.0,0.0,0.0
11,196,5.0,0.0,0.0,0.0,0.0
11,197,5.0,5.0,5.0,5.0,5.0
11,105,5.0,0.0,0.0,0.0,0.0
11,198,5.0,0.0,0.0,0.0,0.0
11,46,5.0,5.0,5.0,5.0,3.0
11,199,5.0,0.0,0.0,0.0,0.0
11,186,5.0,0.0,0.0,0.0,0.0
11,200,5.0,0.0,0.0,0.0,0.0
11,201,5.0,5.0,4.0,5.0,0.0
11,53,5.0,0.0,0.0,0.0,0.0
12,202,3.0,0.0,0.0,0.0,0.0
12,46,3.0,0.0,0.0,0.0,0.0
12,131,3.0,0.0,0.0,0.0,0.0
12,203,4.0,0.0,0.0,0.0,0.0
12,150,4.0,0.0,0.0,0.0,0.0
12,204,4.0,5.0,5.0,4.0,5.0
12,124,4.0,0.0,0.0,0.0,0.0
12,205,4.0,4.0,3.0,3.0,0.0
12,206,4.0,0.0,0.0,0.0,0.0
12,207,4.0,0.0,0.0,0.0,0.0
12,208,5.0,5.0,5.0,5.0,5.0
12,209,5.0,3.0,4.0,5.0,4.0
12,210,5.0,0.0,0.0,0.0,0.0
12,211,5.0,0.0,0.0,0.0,0.0
12,212,5.0,5.0,5.0,5.0,5.0
12,213,5.0,5.0,5.0,5.0,0.0
12,214,5.0,0.0,0.0,0.0,0.0
13,215,3.0,0.0,0.0,0.0,0.0
13,216,4.0,0.0,0.0,0.0,0.0
13,217,4.0,4.0,3.0,4.0,5.0
13,61,4.0,4.0,3.0,4.0,4.0
13,186,4.0,4.0,4.0,5.0,4.0
13,218,4.0,0.0,0.0,0.0,0.0
13,219,5.0,0.0,0.0,0.0,0.0
13,220,5.0,5.0,5.0,5.0,0.0
13,221,5.0,0.0,0.0,0.0,0.0
13,222,5.0,5.0,5.0,5.0,5.0
13,223,5.0,0.0,0.0,0.0,0.0
14,224,1.0,1.0,3.0,3.0,0.0
14,61,3.0,4.0,2.0,2.0,0.0
14,46,3.0,0.0,0.0,0.0,0.0
14,225,4.0,5.0,3.0,4.0,0.0
14,212,4.0,5.0,4.0,4.0,5.0
14,145,4.0,4.0,5.0,5.0,4.0
14,67,4.0,3.0,2.0,4.0,5.0
14,226,4.0,0.0,0.0,0.0,0.0
14,227,4.0,0.0,0.0,0.0,0.0
14,228,4.0,3.0,3.0,4.0,3.0
14,229,4.0,0.0,0.0,0.0,0.0
14,230,4.0,3.0,5.0,5.0,0.0
14,231,4.0,5.0,4.0,4.0,0.0
14,232,4.0,0.0,0.0,0.0,0.0
14,163,5.0,0.0,0.0,0.0,0.0
14,233,5.0,0.0,0.0,0.0,0.0
14,234,5.0,0.0,0.0,0.0,0.0
14,235,5.0,0.0,0.0,0.0,0.0
14,236,5.0,5.0,4.0,5.0,5.0
14,237,5.0,5.0,5.0,5.0,5.0
14,238,5.0,0.0,0.0,0.0,0.0
14,239,5.0,0.0,0.0,0.0,0.0
15,120,4.0,3.0,3.0,3.0,0.0
15,240,4.0,5.0,3.0,4.0,0.0
15,15,5.0,0.0,0.0,0.0,0.0
15,56,5.0,5.0,5.0,5.0,5.0
15,241,5.0,0.0,0.0,0.0,0.0
15,185,5.0,0.0,0.0,0.0,0.0
15,242,5.0,5.0,5.0,5.0,0.0
15,61,5.0,5.0,4.0,5.0,0.0
15,46,5.0,5.0,5.0,5.0,0.0
15,243,5.0,0.0,0.0,0.0,0.0
15,206,5.0,0.0,0.0,0.0,0.0
16,244,1.0,0.0,0.0,0.0,0.0
16,245,1.0,0.0,0.0,0.0,0.0
16,246,1.0,1.0,1.0,1.0,0.0
16,247,3.0,3.0,3.0,3.0,0.0
16,248,4.0,0.0,0.0,0.0,0.0
16,249,4.0,0.0,0.0,0.0,0.0
16,250,4.0,0.0,0.0,0.0,0.0
16,251,4.0,0.0,0.0,0.0,0.0
16,132,5.0,0.0,0.0,0.0,0.0
16,3,5.0,0.0,0.0,0.0,0.0
16,252,5.0,5.0,5.0,5.0,0.0
16,145,5.0,5.0,5.0,5.0,5.0
16,46,5.0,0.0,0.0,0.0,0.0
16,253,5.0,0.0,0.0,0.0,0.0
17,254,3.0,4.0,2.0,2.0,0.0
17,255,3.0,0.0,0.0,0.0,0.0
17,256,3.0,0.0,0.0,0.0,0.0
17,61,4.0,5.0,4.0,4.0,0.0
17,67,4.0,4.0,3.0,4.0,0.0
17,13,4.0,3.0,4.0,4.0,4.0
17,115,4.0,5.0,5.0,5.0,4.0
17,257,4.0,0.0,0.0,0.0,0.0
17,206,4.0,4.0,3.0,4.0,0.0
17,258,5.0,0.0,0.0,0.0,0.0
17,72,5.0,0.0,0.0,0.0,0.0
17,259,5.0,0.0,0.0,0.0,0.0
17,46,5.0,0.0,0.0,0.0,0.0
18,260,1.0,0.0,0.0,0.0,0.0
18,261,1.0,0.0,0.0,0.0,0.0
18,262,2.0,3.0,2.0,2.0,0.0
18,263,2.0,3.0,2.0,3.0,0.0
18,264,3.0,0.0,0.0,0.0,0.0
18,265,3.0,2.0,4.0,4.0,3.0
18,266,4.0,4.0,3.0,5.0,0.0
18,267,4.0,0.0,0.0,0.0,0.0
18,268,4.0,0.0,0.0,0.0,0.0
18,255,4.0,0.0,0.0,0.0,0.0
18,269,4.0,5.0,4.0,4.0,4.0
18,194,5.0,0.0,0.0,0.0,0.0
18,186,5.0,0.0,0.0,0.0,0.0
18,46,5.0,5.0,5.0,5.0,5.0
18,270,5.0,0.0,0.0,0.0,0.0
19,217,2.0,2.0,2.0,2.0,0.0
19,241,2.0,2.0,3.0,2.0,0.0
19,3,3.0,0.0,0.0,0.0,0.0
19,271,4.0,0.0,0.0,0.0,0.0
19,161,4.0,0.0,0.0,0.0,0.0
19,186,4.0,4.0,5.0,4.0,0.0
19,272,4.0,4.0,3.0,4.0,0.0
19,273,4.0,0.0,0.0,0.0,0.0
19,274,4.0,5.0,4.0,4.0,0.0
19,275,5.0,0.0,0.0,0.0,0.0
19,276,5.0,0.0,0.0,0.0,0.0
19,277,5.0,5.0,0.0,0.0,0.0
19,278,5.0,5.0,5.0,5.0,5.0
19,279,5.0,0.0,0.0,0.0,0.0
19,280,5.0,5.0,5.0,5.0,0.0
19,46,5.0,5.0,5.0,5.0,0.0
19,281,5.0,5.0,5.0,5.0,5.0
20,282,2.0,0.0,0.0,0.0,0.0
20,157,3.0,4.0,2.0,3.0,4.0
20,283,4.0,0.0,0.0,0.0,0.0
20,63,4.0,0.0,0.0,0.0,0.0
20,61,4.0,4.0,3.0,3.0,4.0
20,284,4.0,4.0,4.0,4.0,5.0
20,285,4.0,3.0,3.0,4.0,0.0
20,286,4.0,0.0,0.0,0.0,0.0
20,287,4.0,0.0,0.0,0.0,0.0
20,288,4.0,0.0,0.0,0.0,0.0
20,289,5.0,4.0,4.0,5.0,3.0
20,290,5.0,5.0,4.0,5.0,0.0
20,291,5.0,5.0,5.0,5.0,3.0
20,292,5.0,0.0,0.0,0.0,0.0
20,293,5.0,4.0,4.0,5.0,0.0
20,294,5.0,0.0,0.0,0.0,0.0
21,295,1.0,0.0,0.0,0.0,0.0
21,296,1.0,0.0,0.0,0.0,0.0
21,154,2.0,1.0,2.0,2.0,1.0
21,297,4.0,0.0,0.0,0.0,0.0
21,243,4.0,0.0,0.0,0.0,0.0
21,298,4.0,0.0,0.0,0.0,0.0
21,299,4.0,0.0,0.0,0.0,0.0
21,99,5.0,5.0,5.0,5.0,0.0
21,13,5.0,0.0,0.0,0.0,0.0
21,300,5.0,0.0,0.0,0.0,0.0
21,237,5.0,0.0,0.0,0.0,0.0
22,301,1.0,0.0,0.0,0.0,0.0
22,302,1.0,3.0,2.0,1.0,0.0
22,303,2.0,3.0,3.0,2.0,0.0
22,304,3.0,3.0,3.0,3.0,3.0
22,190,3.0,0.0,0.0,0.0,0.0
22,305,4.0,5.0,5.0,4.0,5.0
22,306,4.0,0.0,4.0,4.0,0.0
22,63,4.0,4.0,4.0,4.0,4.0
22,307,4.0,3.0,3.0,4.0,0.0
22,273,4.0,5.0,4.0,4.0,5.0
22,308,4.0,0.0,0.0,0.0,0.0
22,309,4.0,4.0,4.0,4.0,4.0
22,310,4.0,5.0,5.0,4.0,5.0
22,311,5.0,5.0,5.0,5.0,5.0
22,215,5.0,5.0,5.0,5.0,0.0
22,312,5.0,5.0,5.0,5.0,0.0
22,12,5.0,5.0,5.0,5.0,5.0
22,313,5.0,5.0,5.0,5.0,0.0
22,314,5.0,5.0,5.0,5.0,4.0
22,295,5.0,5.0,5.0,5.0,0.0
22,315,5.0,5.0,4.0,5.0,4.0
23,316,2.0,0.0,0.0,0.0,0.0
23,317,3.0,3.0,3.0,4.0,0.0
23,194,3.0,3.0,3.0,3.0,0.0
23,187,4.0,2.0,4.0,5.0,0.0
23,196,4.0,5.0,3.0,5.0,0.0
23,318,4.0,0.0,0.0,0.0,0.0
23,319,4.0,3.0,4.0,4.0,4.0
23,83,4.0,0.0,0.0,0.0,0.0
23,320,5.0,0.0,0.0,0.0,0.0
23,321,5.0,0.0,0.0,0.0,0.0
23,13,5.0,0.0,0.0,0.0,0.0
23,322,5.0,0.0,0.0,0.0,0.0
23,46,5.0,0.0,0.0,0.0,0.0
23,323,5.0,0.0,0.0,0.0,0.0
23,324,5.0,0.0,0.0,0.0,0.0
23,114,5.0,0.0,0.0,0.0,0.0
23,325,5.0,0.0,0.0,0.0,0.0
24,326,3.0,0.0,0.0,0.0,0.0
24,327,3.0,5.0,3.0,4.0,0.0
24,47,4.0,4.0,3.0,4.0,3.0
24,328,4.0,5.0,5.0,5.0,0.0
24,329,5.0,0.0,0.0,0.0,0.0
24,330,5.0,5.0,5.0,5.0,0.0
24,16,5.0,4.0,4.0,4.0,5.0
24,331,5.0,5.0,4.0,5.0,5.0
24,332,5.0,5.0,4.0,5.0,3.0
24,333,5.0,4.0,5.0,5.0,3.0
24,334,5.0,5.0,5.0,5.0,0.0
24,335,5.0,0.0,0.0,0.0,0.0
24,336,5.0,4.0,3.0,5.0,4.0
24,160,5.0,4.0,3.0,5.0,5.0
25,337,1.0,1.0,2.0,3.0,4.0
25,338,3.0,0.0,0.0,0.0,0.0
25,69,4.0,0.0,0.0,0.0,0.0
25,339,4.0,0.0,0.0,0.0,0.0
25,340,4.0,0.0,0.0,0.0,0.0
25,341,5.0,5.0,5.0,5.0,5.0
25,342,5.0,0.0,0.0,0.0,0.0
25,186,5.0,0.0,0.0,0.0,0.0
25,46,5.0,0.0,0.0,0.0,0.0
25,343,5.0,0.0,0.0,0.0,0.0
26,344,2.0,1.0,2.0,3.0,0.0
26,345,3.0,0.0,0.0,0.0,0.0
26,346,3.0,2.0,3.0,3.0,0.0
26,78,3.0,3.0,3.0,3.0,5.0
26,347,4.0,5.0,4.0,4.0,0.0
26,348,4.0,4.0,3.0,3.0,4.0
26,343,4.0,4.0,3.0,4.0,3.0
26,185,4.0,0.0,0.0,0.0,0.0
26,204,4.0,0.0,0.0,0.0,0.0
26,349,4.0,4.0,4.0,4.0,0.0
26,350,5.0,5.0,4.0,5.0,0.0
26,16,5.0,0.0,0.0,0.0,0.0
26,351,5.0,4.0,5.0,5.0,0.0
26,55,5.0,4.0,4.0,4.0,0.0
26,83,5.0,0.0,0.0,0.0,0.0
26,352,5.0,5.0,5.0,5.0,0.0
27,78,1.0,4.0,1.0,1.0,0.0
27,132,1.0,1.0,1.0,1.0,0.0
27,353,2.0,1.0,1.0,2.0,0.0
27,163,2.0,3.0,1.0,2.0,3.0
27,354,2.0,2.0,0.0,4.0,3.0
27,13,3.0,3.0,3.0,4.0,0.0
27,355,4.0,0.0,0.0,0.0,0.0
27,356,4.0,0.0,0.0,0.0,0.0
27,317,4.0,4.0,4.0,4.0,0.0
27,357,4.0,5.0,4.0,4.0,0.0
27,358,4.0,0.0,0.0,0.0,0.0
27,359,4.0,0.0,0.0,0.0,0.0
27,360,4.0,4.0,4.0,3.0,5.0
27,73,4.0,0.0,0.0,0.0,0.0
27,361,4.0,5.0,5.0,3.0,0.0
27,278,4.0,0.0,0.0,0.0,0.0
27,362,4.0,0.0,0.0,0.0,0.0
27,363,5.0,5.0,5.0,5.0,5.0
27,364,5.0,0.0,0.0,0.0,0.0
27,365,5.0,0.0,0.0,0.0,0.0
27,366,5.0,0.0,0.0,0.0,0.0
27,367,5.0,5.0,5.0,5.0,4.0
27,368,5.0,5.0,5.0,5.0,5.0
27,14,5.0,0.0,0.0,0.0,0.0
27,127,5.0,5.0,5.0,5.0,0.0
27,369,5.0,0.0,0.0,0.0,0.0
27,99,5.0,5.0,5.0,5.0,0.0
27,370,5.0,0.0,0.0,0.0,0.0
27,371,5.0,0.0,0.0,0.0,0.0
27,372,5.0,5.0,5.0,5.0,0.0
27,373,5.0,5.0,3.0,5.0,5.0
27,374,5.0,0.0,0.0,0.0,0.0
27,46,5.0,4.0,5.0,5.0,0.0
27,375,5.0,0.0,0.0,0.0,0.0
27,376,5.0,0.0,0.0,0.0,0.0
27,377,5.0,0.0,0.0,0.0,0.0
27,378,5.0,0.0,0.0,0.0,0.0
27,379,5.0,5.0,5.0,4.0,5.0
27,380,5.0,5.0,5.0,5.0,0.0
27,150,5.0,0.0,0.0,0.0,0.0
27,381,5.0,0.0,0.0,0.0,0.0
27,382,5.0,0.0,0.0,0.0,0.0
27,306,5.0,5.0,5.0,5.0,0.0
27,383,5.0,5.0,5.0,5.0,0.0
28,54,2.0,4.0,4.0,4.0,0.0
28,384,2.0,2.0,2.0,3.0,0.0
28,186,3.0,3.0,4.0,3.0,0.0
28,385,4.0,0.0,0.0,0.0,0.0
28,386,4.0,4.0,5.0,4.0,4.0
28,387,4.0,0.0,0.0,0.0,0.0
28,388,4.0,0.0,0.0,0.0,0.0
28,389,4.0,0.0,0.0,0.0,0.0
28,154,4.0,3.0,4.0,3.0,0.0
28,42,4.0,5.0,3.0,4.0,4.0
28,390,4.0,5.0,4.0,5.0,4.0
28,391,4.0,5.0,4.0,5.0,5.0
28,392,4.0,0.0,0.0,0.0,0.0
28,72,4.0,0.0,0.0,0.0,0.0
28,393,5.0,0.0,0.0,0.0,0.0
28,394,5.0,0.0,0.0,0.0,0.0
28,268,5.0,0.0,0.0,0.0,0.0
28,335,5.0,5.0,5.0,5.0,0.0
28,237,5.0,5.0,5.0,5.0,0.0
28,61,5.0,0.0,0.0,0.0,0.0
28,95,5.0,5.0,4.0,5.0,0.0
28,395,5.0,0.0,0.0,0.0,0.0
28,396,5.0,5.0,4.0,5.0,0.0
28,106,5.0,5.0,5.0,5.0,0.0
28,46,5.0,3.0,4.0,5.0,0.0
28,270,5.0,5.0,5.0,5.0,0.0
28,397,5.0,5.0,5.0,5.0,0.0
28,398,5.0,5.0,5.0,5.0,4.0
28,150,5.0,0.0,0.0,0.0,0.0
29,399,2.0,1.0,3.0,4.0,0.0
29,400,2.0,0.0,0.0,0.0,0.0
29,86,3.0,3.0,2.0,2.0,0.0
29,401,3.0,4.0,1.0,4.0,4.0
29,402,3.0,0.0,0.0,0.0,0.0
29,250,3.0,1.0,1.0,3.0,4.0
29,403,3.0,2.0,2.0,3.0,0.0
29,404,3.0,0.0,0.0,0.0,0.0
29,405,3.0,2.0,2.0,3.0,2.0
29,113,3.0,3.0,2.0,3.0,3.0
29,149,3.0,2.0,1.0,4.0,0.0
29,386,3.0,3.0,2.0,3.0,2.0
29,381,4.0,4.0,2.0,3.0,5.0
29,406,4.0,5.0,3.0,4.0,5.0
29,407,4.0,4.0,5.0,4.0,3.0
29,408,4.0,0.0,0.0,0.0,0.0
29,409,4.0,5.0,4.0,4.0,3.0
29,194,4.0,3.0,4.0,5.0,3.0
29,410,4.0,0.0,0.0,0.0,0.0
29,115,4.0,0.0,0.0,0.0,0.0
29,411,4.0,3.0,4.0,5.0,0.0
29,412,4.0,0.0,0.0,0.0,0.0
29,413,4.0,4.0,4.0,4.0,0.0
29,257,4.0,0.0,0.0,0.0,0.0
29,414,4.0,5.0,3.0,5.0,4.0
29,181,5.0,0.0,0.0,0.0,0.0
29,415,5.0,5.0,5.0,5.0,0.0
29,67,5.0,0.0,0.0,0.0,0.0
29,416,5.0,0.0,0.0,0.0,0.0
29,251,5.0,5.0,5.0,5.0,5.0
29,417,5.0,5.0,4.0,5.0,4.0
29,72,5.0,4.0,3.0,5.0,4.0
29,46,5.0,5.0,5.0,5.0,5.0
29,418,5.0,0.0,0.0,0.0,0.0
30,419,1.0,0.0,0.0,0.0,0.0
30,420,2.0,0.0,0.0,0.0,0.0
30,13,2.0,3.0,2.0,3.0,1.0
30,35,3.0,0.0,0.0,0.0,0.0
30,421,3.0,3.0,2.0,4.0,0.0
30,422,3.0,0.0,0.0,0.0,0.0
30,206,3.0,0.0,0.0,0.0,0.0
30,423,3.0,0.0,0.0,0.0,0.0
30,424,4.0,0.0,0.0,0.0,0.0
30,425,4.0,0.0,0.0,0.0,0.0
30,353,4.0,0.0,0.0,0.0,0.0
30,426,4.0,5.0,3.0,5.0,0.0
30,29,4.0,0.0,0.0,0.0,0.0
30,427,4.0,0.0,0.0,0.0,0.0
30,428,4.0,5.0,4.0,4.0,0.0
30,429,4.0,3.0,4.0,5.0,0.0
30,430,4.0,0.0,0.0,0.0,0.0
30,431,4.0,0.0,0.0,0.0,0.0
30,432,4.0,0.0,0.0,0.0,0.0
30,433,4.0,4.0,5.0,4.0,4.0
30,434,4.0,0.0,0.0,0.0,0.0
